blink_rate,gaze_score,head_deviation,focus_label
82.66,100.0,28.7,0
33.45,100.0,2.0,3
23.21,100.0,6.5,2
17.35,100.0,2.9,4
17.97,100.0,8.2,1
16.46,100.0,4.2,2
11.87,100.0,5.5,4
10.92,100.0,8.0,3
10.93,100.0,4.5,2
0,0,0,0
10.24,100.0,48.7,0
9.92,100.0,6.2,0
11.66,100.0,4.2,1
2.45,100.0,11.1,0
0.68,100.0,4.1,3
0.59,100.0,4.4,3
3.38,100.0,22.2,1
3.2,100.0,16.8,3
2.82,100.0,9.8,4
2.6,100.0,0.6,3
5.38,100.0,9.2,1
17.83,100.0,11.5,0
27.83,100.0,2.2,0
42.64,100.0,2.1,0
45.33,100.0,24.2,0
41.34,100.0,10.7,1
39.01,100.0,10.6,2
34.68,100.0,4.0,2
29.02,100.0,28.4,0
11.15,100.0,0.6,3
8.66,100.0,21.6,0
5.47,100.0,12.5,1
