blink_rate,gaze_score,head_deviation,focus_label
0.0,100.0,9.5,3
0.0,100.0,8.7,3
0.0,100.0,8.9,3
0.0,100.0,7.7,3
0.0,100.0,6.3,3
0.0,100.0,5.7,3
0.0,100.0,4.6,3
0.0,100.0,4.5,3
0.0,100.0,3.9,3
0.0,100.0,2.8,3
0.0,100.0,2.8,3
0.0,100.0,2.3,3
0.0,100.0,2.2,3
0.0,100.0,1.9,3
0.0,100.0,2.0,3
0.0,100.0,0.1,3
0.0,100.0,0.2,3
0.0,100.0,0.8,3
0.0,100.0,0.0,3
0.0,100.0,0.3,3
0.0,100.0,0.5,3
0.0,100.0,0.2,3
0.0,100.0,0.4,3
0.0,100.0,0.1,3
0.0,100.0,0.9,3
0.0,100.0,1.7,3
0.0,100.0,1.1,3
0.0,100.0,0.7,3
0.0,100.0,0.4,3
0.0,100.0,1.3,3
0.0,100.0,0.8,3
0.0,100.0,0.1,3
0.0,100.0,0.6,3
0.0,100.0,1.7,3
0.0,100.0,5.3,3
0.0,100.0,7.5,3
0.0,100.0,9.0,3
0.0,100.0,9.8,3
0.0,100.0,11.3,3
0.0,100.0,10.7,3
0.0,100.0,10.9,3
0.0,100.0,10.2,3
0.0,100.0,8.5,3
0.0,100.0,9.3,3
0.0,100.0,7.6,3
0.0,100.0,8.5,3
0.0,100.0,8.5,3
0.0,100.0,10.4,3
0.0,100.0,9.4,3
0.0,100.0,8.9,3
0.0,100.0,8.2,3
0.0,100.0,9.6,3
16.43,100.0,10.0,3
16.16,100.0,9.8,3
15.9,100.0,9.0,3
15.65,100.0,8.7,3
15.42,100.0,8.5,3
15.18,100.0,9.9,3
14.95,100.0,9.1,3
14.73,100.0,10.7,3
14.52,100.0,10.4,3
14.29,100.0,10.7,3
14.11,100.0,11.0,3
13.91,100.0,10.5,3
13.72,100.0,10.1,3
13.53,100.0,10.1,3
13.36,100.0,9.2,3
13.17,100.0,9.8,3
13.01,100.0,8.6,3
12.84,100.0,8.1,3
12.68,100.0,6.7,3
12.52,100.0,7.5,3
12.36,100.0,9.3,3
12.21,100.0,10.0,3
12.07,100.0,11.4,3
11.92,100.0,11.3,3
11.78,100.0,12.4,3
11.64,100.0,12.1,3
11.51,100.0,12.5,3
11.38,100.0,12.8,3
11.25,100.0,10.9,3
11.13,100.0,10.8,3
11.0,100.0,10.4,3
10.88,100.0,9.9,3
10.77,100.0,9.6,3
10.65,100.0,8.5,3
21.08,100.0,8.8,3
20.86,100.0,9.8,3
20.65,100.0,9.9,3
20.44,100.0,10.9,3
20.23,100.0,11.5,3
30.04,100.0,11.8,3
29.74,100.0,11.4,3
29.45,100.0,11.1,3
29.16,100.0,10.2,3
38.5,100.0,10.4,3
38.14,100.0,11.2,3
37.78,100.0,10.9,3
37.43,100.0,10.9,3
37.07,100.0,10.5,3
36.74,100.0,10.5,3
36.41,100.0,10.3,3
36.08,100.0,11.5,3
35.75,100.0,10.3,3
35.44,100.0,10.1,3
35.12,100.0,9.6,3
34.84,100.0,8.2,3
34.54,100.0,8.8,3
34.25,100.0,8.0,3
33.95,100.0,8.3,3
33.67,100.0,7.7,3
33.39,100.0,8.0,3
33.11,100.0,8.0,3
32.84,100.0,8.5,3
40.71,100.0,7.1,3
40.39,100.0,7.3,3
40.06,100.0,7.1,3
39.74,100.0,6.5,3
47.27,100.0,8.1,3
46.95,100.0,8.9,3
54.35,100.0,8.3,3
53.93,100.0,8.6,3
53.52,100.0,8.2,3
60.69,100.0,8.2,3
60.24,100.0,7.7,3
59.79,100.0,6.4,3
59.32,100.0,8.4,3
66.27,100.0,6.9,3
65.79,100.0,7.8,3
65.31,100.0,8.0,3
64.84,100.0,7.3,3
64.38,100.0,7.2,3
63.92,100.0,7.6,3
63.46,100.0,8.3,3
63.02,100.0,8.1,3
62.59,100.0,8.8,3
