timestamp,blink_rate,gaze_score,head_deviation,focus_score
1772797685.0827928,0.0,100.0,0.2,54
1772797685.3321693,0.0,100.0,3.3,74
1772797685.6713295,0.0,100.0,2.9,78
1772797685.9438388,0.0,100.0,0.4,55
1772797686.232619,0.0,100.0,3.2,74
1772797686.5318623,0.0,100.0,6.7,60
1772797686.8317137,0.0,100.0,6.9,61
1772797687.1327097,0.0,100.0,7.7,63
1772797687.4325962,0.0,100.0,10.0,44
1772797687.7334797,0.0,100.0,7.7,63
1772797688.0320628,0.0,100.0,7.5,58
1772797688.3322732,0.0,100.0,7.2,61
1772797688.632284,0.0,100.0,7.4,61
1772797688.9317713,0.0,100.0,9.8,66
1772797689.2325385,0.0,100.0,14.4,26
1772797689.532174,0.0,100.0,13.2,25
1772797689.8335795,0.0,100.0,11.1,11
1772797690.1325104,0.0,100.0,12.5,23
1772797690.4321582,0.0,100.0,11.6,22
1772797690.7320187,0.0,100.0,11.9,25
1772797691.031484,0.0,100.0,10.9,17
1772797691.3320227,0.0,100.0,11.1,11
1772797691.627514,0.0,100.0,11.7,23
1772797691.929006,0.0,100.0,11.5,12
1772797692.2271974,0.0,100.0,11.4,16
1772797692.5290723,0.0,100.0,10.2,47
1772797692.8276827,0.0,100.0,10.8,29
1772797693.129006,0.0,100.0,11.4,16
1772797693.4273763,0.0,100.0,10.9,17
1772797693.728874,0.0,100.0,11.2,21
1772797694.0275204,0.0,100.0,11.5,12
1772797694.3328238,0.0,100.0,12.2,23
1772797694.6394506,0.0,100.0,11.4,16
1772797694.9358647,0.0,100.0,11.4,16
1772797695.2281482,0.0,100.0,9.9,45
1772797695.527996,0.0,100.0,10.6,40
1772797695.8293502,0.0,100.0,11.6,22
1772797696.1278722,0.0,100.0,7.3,61
1772797696.435383,0.0,100.0,5.3,49
1772797696.7277067,0.0,100.0,3.3,74
1772797697.0285668,0.0,100.0,9.2,60
1772797697.3279674,0.0,100.0,14.1,0
1772797697.6286669,0.0,100.0,15.7,10
1772797697.9355597,0.0,100.0,11.0,19
1772797698.2284675,0.0,100.0,2.4,77
1772797698.5235465,0.0,100.0,11.0,19
1772797698.8484826,0.0,100.0,9.9,45
1772797699.124524,0.0,100.0,10.1,44
1772797699.4255137,0.0,100.0,10.9,17
1772797699.7237933,0.0,100.0,12.8,21
1772797700.0242102,0.0,100.0,9.2,60
1772797700.3245668,0.0,100.0,12.5,23
1772797700.6246667,0.0,100.0,11.5,12
1772797700.9243965,0.0,100.0,11.1,11
1772797701.2242327,0.0,100.0,13.1,25
1772797701.5316086,0.0,100.0,10.5,40
1772797701.833359,0.0,100.0,10.6,40
1772797702.1390336,0.0,100.0,6.2,49
1772797702.4245465,0.0,100.0,10.1,44
1772797702.7239697,0.0,100.0,10.0,44
1772797703.0235643,0.0,100.0,10.7,27
1772797703.3240864,0.0,100.0,10.3,39
1772797703.6237185,0.0,100.0,12.2,23
1772797703.9240692,0.0,100.0,11.8,23
1772797704.2272727,0.0,100.0,9.5,60
1772797704.5245135,0.0,100.0,11.1,11
1772797704.8237066,0.0,100.0,11.1,11
1772797705.1242263,0.0,100.0,11.2,21
1772797705.4290676,0.0,100.0,11.8,23
1772797705.7497804,0.0,100.0,12.4,23
1772797706.0199132,0.0,100.0,13.8,25
1772797706.3196855,0.0,100.0,13.4,25
1772797706.6206036,0.0,100.0,12.3,23
1772797706.919645,0.0,100.0,13.2,25
1772797707.2203953,0.0,100.0,14.6,26
1772797707.5198746,0.0,100.0,13.9,25
1772797707.8207347,0.0,100.0,14.5,26
1772797708.119704,0.0,100.0,14.6,26
1772797708.4197445,0.0,100.0,13.5,25
1772797708.7201543,2.33,100.0,6.2,58
1772797710.2199013,4.4,100.0,13.2,13
1772797710.5200868,4.35,100.0,11.9,23
1772797710.8193235,4.31,100.0,11.1,20
1772797711.1195538,4.26,100.0,12.5,22
1772797711.4194653,4.22,100.0,13.2,14
1772797711.7208478,4.17,100.0,8.7,75
1772797712.0205507,4.13,100.0,11.3,31
1772797712.3160975,4.09,100.0,10.0,58
1772797712.6161644,4.05,100.0,9.0,78
1772797712.9199831,4.01,100.0,9.8,82
1772797713.236521,3.97,100.0,11.2,31
1772797713.5312927,3.93,100.0,11.1,30
1772797713.825343,3.89,100.0,10.5,51
1772797714.1265533,3.85,100.0,9.6,75
1772797714.4342043,3.81,100.0,7.3,84
1772797714.7232945,3.78,100.0,1.5,81
1772797715.027666,3.74,100.0,2.4,90
1772797715.3655667,3.7,100.0,2.0,81
1772797715.6380007,3.67,100.0,2.3,90
1772797715.9265757,3.64,100.0,4.1,81
1772797716.2278144,3.61,100.0,4.0,81
1772797716.528103,3.58,100.0,3.9,87
1772797716.8161585,3.54,100.0,5.0,68
1772797717.1156228,3.51,100.0,4.1,81
1772797717.425528,3.48,100.0,3.5,86
1772797717.7193828,3.45,100.0,2.0,81
1772797718.0217292,3.42,100.0,2.2,77
1772797718.3301535,3.39,100.0,9.4,75
1772797718.6405766,5.05,100.0,13.4,13
1772797718.9387228,5.01,100.0,13.2,13
1772797719.231042,4.96,100.0,13.2,13
1772797719.5259342,4.92,100.0,13.0,11
1772797719.8146632,4.88,100.0,13.1,13
1772797720.1121535,4.84,100.0,11.3,20
1772797720.4132202,6.41,100.0,5.9,30
1772797720.711597,6.36,100.0,9.4,40
1772797721.0111094,7.88,100.0,23.7,6
1772797721.3117929,9.39,100.0,20.2,0
1772797721.6112351,9.31,100.0,12.2,8
1772797721.9118798,9.24,100.0,9.3,30
1772797722.21435,10.7,100.0,8.5,60
1772797722.5428123,12.13,100.0,4.5,50
1772797722.811218,13.55,100.0,2.1,44
1772797723.1160824,14.94,100.0,3.1,45
1772797723.411491,14.83,100.0,1.8,34
1772797723.7158399,14.72,100.0,2.3,51
